stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
54200,900431,I-85 ACCESS RD SOUTH (N.E. EXPY) @ 3070,,33.869693,-84.283318,,,,,,0
54204,900432,I-85 ACCESS RD NORTH (N.E. EXPY) @ 3265,3265 NORTHEAST EXPY NE,33.872286,-84.277862,,,,,,0
54208,900407,BUFORD HWY@BRAGG ST,0 BUFORD HWY NE & BRAGG ST,33.868373,-84.300205,,,,,,0
54218,900408,SHALLOWFORD RD@LAKE FLAIR CIR,0 SHALLOWFORD RD NE & LAKE FLAIR CIR NE,33.859195,-84.284445,,,,,,0
54228,900437,SHALLOWFORD RD@LAKE FLAIR CIR,0 SHALLOWFORD & LAKE FLAIR,33.861114,-84.286621,,,,,,0
54232,900411,I-85 ACCESS @CENTURY BLVD,0 I-85 ACCESS RD & CENTURY BLVD,33.841677,-84.309497,,,,,,0
54234,900412,BRIARCLIFF RD@BRIARWILLOW DR,0 BRIARCLIFF RD NE & BRIARWILLOW DR NE,33.844286,-84.28935,,,,,,0
54236,900413,BRIARCLIFF RD@HERITAGE DR,0 BRIARCLIFF & HERITAGE,33.844526,-84.288152,,,,,,0
54238,900438,BRIARCLIFF RD@ECHO DR,0 BRIARCLIFF & ECHO,33.848025,-84.283605,,,,,,0
54242,900439,SHALLOWFORD RD@2865,,33.871414,-84.29031,,,,,,0
54244,900440,BRIARCLIFF RD@SUNSET DR,0 BRIARCLIFF RD NE & SUNSET DR NE,33.854182,-84.281639,,,,,,0
54246,900441,BRIARCLIFF RD@BRIARLAKE RD,0 BRIARCLIFF RD NE & BRIARLAKE RD NE,33.849269,-84.283438,,,,,,0
54248,900414,BRIARCLIFF RD@ECHO DR,0 BRIARCLIFF RD NE & ECHO DR NE,33.848231,-84.28371,,,,,,0
54250,900415,BRIARCLIFF RD@OAK GROVE RD,0 BRIARCLIFF & OAK GROVE,33.845635,-84.286082,,,,,,0
54510,900416,CLAIRMONT RD @ W HARDEE AVE,0 CLAIRMONT & HARDEE,33.870957,-84.309301,,,,,,0
54511,900417,NORTH DEKALB HEALTH CENTER,3807 CLAIRMONT,33.87158,-84.308344,,,,,,0
54512,900442,CLAIRMONT RD@GEORGIAN DR,0 CLAIRMONT & GEORGIAN,33.871229,-84.309686,,,,,,0
54514,900443,SHALLOWFORD RD@2731,,33.867045,-84.289679,,,,,,0
54516,900444,NORTHEAST EXPY @ 2515 (EXIT),2515 I-85 N,33.854759,-84.296356,,,,,,0
54520,900450,SHALLOWFORD RD@2803,,33.868548,-84.289896,,,,,,0
54522,900249,SHALLOWFORD RD@2792,2792 SHALLOWFORD RD NE,33.868549,-84.290047,,,,,,0
55006,900448,HENDERSON MILL RD NE@MILL RIDGE TRL,0 HENDERSON MILL RD NE & MILL RIDGE TRL NE,33.853652,-84.259259,,,,,,0
55010,900449,HENDERSON MILL RD NE@MIDVALE RD,0 HENDERSON MILL & MIDVALE,33.85939,-84.253036,,,,,,0
55012,900252,HENDERSON MILL RD@HENDERSON RD,0 HENDERSON MILL & HENDERSON,33.867443,-84.250397,,,,,,0
55014,900253,HENDERSON MILL RD@EVANS RD,0 HENDERSON MILL & EVANS,33.871627,-84.250548,,,,,,0
55016,900254,HENDERSON MILL RD@HENDERSON RD,0 HENDERSON MILL & HENDERSON,33.867813,-84.250961,,,,,,0
55018,900255,HENDERSON MILL RD @ BOLERO DR,0 HENDERSON MILL & BOLERO,33.865944,-84.251472,,,,,,0
55020,900279,HENDERSON MILL RD@HENDERSON CREEK,0 HENDERSON MILL & HENDERSON CREEK,33.863281,-84.252151,,,,,,0
55022,900280,HENDERSON MILL RD@MIDVALE RD,0 HENDERSON MILL & MIDVALE,33.861267,-84.251968,,,,,,0
55024,900281,HENDERSON MILL RD@LESLIE DR,0 HENDERSON MILL & LESLIE,33.859623,-84.25325,,,,,,0
55026,900282,HENDERSON MILL RD@LESLIE DR,0 HENDERSON MILL RD NE & LESLIE DR NE,33.857865,-84.254902,,,,,,0
55028,900256,HENDERSON MILL RD@KINGS ARMS DR,0 HENDERSON MILL RD NE & KINGS ARMS DR NE,33.856542,-84.257058,,,,,,0
55030,900257,HENDERSON MILL RD@BRIARCLIFF WAY,0 HENDERSON MILL RD NE & BRIARCLIFF WAY NE,33.855138,-84.259095,,,,,,0
55034,900259,HENDERSON MILL RD @ FIELDING DR,0 HENDERSON MILL RD NE & FIELDING DR NE,33.850976,-84.258652,,,,,,0
55040,900285,MONTREAL RD @ LAVISTA RD,0 MONTREAL RD & LAVISTA RD,33.843421,-84.2567,,,,,,0
55048,900260,NORTHLAKE PKWY @ LAVISTA RD,0 NORTHLAKE PKY & LAVISTA RD,33.847342,-84.244538,,,,,,0
